ВидНоменклатуры	Код	Артикул	Наименование	Ед
Сетки и решетки	2518		Решетка вентиляционная для цоколя №14 (темно-серый), 390х65мм, пластик	шт
Столешницы	2520		Столешница Белый №10 38мм 3,05м, Скиф	пог. м
Столешницы	2521		Столешница Гранит черный №26 38мм 3,05м, Скиф	пог. м
Столешницы	2522		Кромка с клеем 50*3000*1 Скиф №10 Белый	пог. м
Столешницы	2523		Кромка с клеем 50*3000*1 Скиф №26 Гранит черный	пог. м
ДСП	2524		ЛДСП 16мм Графит 2750*1830	м2
Кромка	2525		Кромка ПВХ 1*19 Дуб Делано натуральный (200 пог.м)	пог. м
Каркасы	2527	88331547	Подстолье для обеденного и письменного стола 71 см сталь цвет белый матовый	шт
Системы выдвижения	2528	15501	Комплект Tango на ящик 450мм с традиционными боковинами стандартной высоты, графит	компл
Системы выдвижения	2529	15559	Держатель продольного рейлинга универсальный для ящика Tango, графит	компл
Системы выдвижения	2530	9872	Рейлинг продольный для ящика Tango Box 450м, графит	компл
Стяжки/эксцентрики/евровинты	2531	9465	Эксцентрик усиленный пластиковый D 20мм темно-коричневый	шт
ДСП	2532		ЛДСП 22мм Ясень Шимо светлый 2750*1830	м2
Зеркала и стекла	2602	89145571	Лента клейкая двусторонняя для крепления зеркал Невский Крепеж 19 мм х 5 м	шт
Метизы	2605	84011055	Дюбель Standers для листовых материалов PBA L 37 с шурупом 4.5x35 мм, 50 шт.	шт
Метизы	2607	88784302	Саморезы универсальные Standers оцинкованные 3x25 на вес	кг
Ручки	2614	GL3.3566.4100.7W PR	Ручка-профиль GOLIGHT универсальная под столешницу, под светод. ленту, черный матовый (анод), L-4100	шт
Заглушки	2615	SCR.001.014.0015	Заглушка для винта серебро состаренное	компл
Светодиодные ленты	2616	GL3.6197.0000.00 CN	Крепление универсальное GOLIGHT для профилей под светодиодную ленту	компл
Системы выдвижения	2617	SB18W.1/450	Направляющие SB18 СТАРТ SOFT с прямыми боковинами стандартной высоты, 86мм	компл
Системы выдвижения	2618	SB20W.1/450	Направляющие SB20 СТАРТ SOFT с прямыми боковинами высокий, 167мм	компл
Петли мебельные	2619	H301A02/0910	Петля H301A02/0910 уст. 90* откр. 105* накладн. доводчик, BOYARD	шт
Петли мебельные	2620	H102A02/0112	Петля H102A02/0112 уст. 90* откр. 108* накладн. без доводчика (110гр), BOYARD	шт
Петли мебельные	2621	H301C02/0910	Петля H301C02/0910 уст. 90* откр. 105* вкладн. доводчик, BOYARD	шт
Наполнение кухонь	2622	KR07/1/0/150	Корзина для бутылочницы KR08/150 без направляющих	шт
Наполнение кухонь	2623	DB6141Zn/450	Направляющие DB6141Zn/450 для KR02/L и KR07/L	шт
Пленки ПВХ	2624	78991	Пленка ПВХ 78991 Софт латте	м2
Пленки ПВХ	2625	2523	Пленка ПВХ 2523 Эмалит Арктик	м2
Кромка	2626		Кромка ABS Черный U999 ST78 б/к 43*1,5 мм	пог. м
Ручки	2627	195359	Ручка-профиль, торцевая MONTE RT110BL.1/000/600, 256x2 / 600 мм, черный, Boyard	шт
Ручки	2628	197340	Ручка-профиль, торцевая MONTE RT110BL.1/000/1200, 352х3 / 1200 мм, черный, Boyard	шт
Подвесы	2629	102369	Навес 814.35 врезной для стеновых панелей, нагрузка (42кг.), 814.35.P2.02.05, CAMAR	шт
Наполнение шкафов	2630	112684	Кронштейн к полке сетчатой, серый	шт
Каркасы	2631	П8540.2550.9005-2	Подстолье для стола Лофт П85х40 RAL9005-2 черный муар	шт
Каркасы	2632	П1140.2550.9005-2	Подстолье для стола Лофт П110х40 RAL9005-2 черный муар	шт
Светодиодные ленты	2633	LSPA-DIF1.3-M-3	Рассеиватель матовый для профиля SM-x/FM-x/CM1/GL3.152, L-3000	шт
Светодиодные ленты	2634	LSPA-DIF-CM2.3-3	Рассеиватель белый матовый для профиля СМ2, L-3000	шт
Светодиодные ленты	2635	LSP-CM2-ALU-3-AL	Профиль СМ2, угловой, серебро, 16х16мм, для овального рассеивателя, L-3000	шт
Светодиодные ленты	2636	LSP-FM1-ALU-3-AL	Профиль FM1, врезной, серебро, 20х7,5мм, L-3000	шт
Светодиодные ленты	2637	LS24-2835NW20-9.6	Лента светодиодная 2835/120, 24V, 5 м, нейтральный белый 4000К, IP20, 9.6W/1м	пог. м
Светодиодные ленты	2638	LSA-8-PC-L15-D	Коннектор STANDART для ленты 8 мм, к блоку питания, провод 150 мм, IP20	шт
Светодиодные ленты	2639	LSA-8-ST-SS-NO-20	Коннектор STANDART для ленты 8 мм, стык в стык, IP20	шт
Светодиодные ленты	2640	LSPA-DIF-CM2.3	Рассеиватель белый матовый для профиля СМ2, L-2000	шт
Светодиодные ленты	2641	LSP-CM2-ALU-2-BL	Профиль СМ2, угловой, черный, 16х16мм, для овального рассеивателя, L-2000	шт
Светодиодные ленты	2642	PS24-IP20-SL-S-18W	Блок питания SLIM AC-230/DC-24V, сверхтонкий, IP20, 18W	шт
Светодиодные ленты	2643	SW1-MS-PR-1	Выключатель, на взмах руки, для установки в профиль, 12/24V, 60/120W	шт
ДСП	2645		ЛДСП 16мм Бетон пайн темный 2750*1830	м2
Кромка	2646		Кромка ПВХ 0,4*19 Дуб Делано Натуральный (100м)	пог. м
Кромка	2647		Кромка ПВХ 2*19 Дуб Делано Натуральный (100м)	пог. м
Кромка	2648	31149	Кромка ПВХ 0,4*19 Бетон Пайн темный 31149 (200м)	пог. м
Кромка	2649	31149/2	Кромка ПВХ 2*19 Бетон Пайн темный 31149 (200м)	пог. м
