ВидНоменклатуры	Код	Артикул	Наименование	Ед
Заглушки	1919		Заглушка самоклеящаяся, D=20мм, ваниль, гладкая (Kr 9569), 54шт.	шт
Заглушки	1920		Заглушка самоклеящаяся, D=13мм, дуб Крафт табачный, с текстурой дерева (Kr K004), 117шт.	шт
Заглушки	1921		Заглушка самоклеящаяся, D=20мм, дуб Крафт табачный, с текстурой дерева (Kr K004), 54шт.	шт
Заглушки	1922		Заглушка самоклеящаяся, D=13мм, гикори Рокфорд темный, с текстурой дерева (Kr K087), 117шт.	шт
Заглушки	1923		Заглушка самоклеящаяся, D=20мм, гикори Рокфорд темный, с текстурой дерева (Kr K087), 54шт.	шт
Стяжки/эксцентрики/евровинты	1961	106916	Стяжка-полкодержатель VB 35М/16, серая, пластмассовая Art. 9066712, Hettich	шт
ДСП	1962		ДСП 16мм Кашемир серый U702 ST9 Шуя	м2
Кромка	1963		Кромка ABS Кашемир серый U702 ST9 б/к 19х0,8 мм	пог. м
Зеркала и стекла	1965		Зеркало 4мм б/ц, 1498*478, полировка	шт
ДСП	1972		ЛДСП BySpan 2800*2070*16мм 632 PE Ваниль	м2
Кромка	1973		Кромка ПВХ 0,4*19 Ваниль 632 (1108)	пог. м
Кромка	1974		Кромка ПВХ 1*19 Ваниль 632 (1108)	пог. м
Ручки	1975	75483	Ручка-скоба В63-96, матовый хром (АЛЮМИНИЙ)	шт
ДСП	1977		ЛДСП влагостойкая 16*2440*1830 Белый скандинавский 9003 SM/SM	м2
Каркасы	1986		Каркас журнального столика	шт
Каркасы	1987		Каркас кофейного столика	шт
Каркасы	1988		Каркас банкетки	шт
Опоры	1989	7093	Опора кух. рег. 100-120мм, разборная, черная (без клипсы) под саморез	шт
Зеркала и стекла	1999		Зеркало 4мм серебро, 2017*524, полировка	шт
Зеркала и стекла	2000		Стекло 4мм хим.мат, 807*257, полировка	шт
Кромка	2011		Кромка ПВХ 2*25 Бук Бавария Светлый D1408/WH1387	пог. м
ДСП	2012		ЛДСП 22мм Бук Бавария светлый 2750*1830	м2
Кромка	2013		Кромка ABS Акация лэйклэнд светлая 42048/H1277 22*2 (100м)	пог. м
Кромка	2014		Кромка ABS Акация лэйклэнд светлая 42048/H1277 19*0,45	пог. м
Кромка	2015		Кромка ПВХ 2*19 Акация лэйклэнд светлая 5620/H1277	пог. м
[другой крепеж]	2027		Комплектующие для Fest/Como50подв. для Сэтл	компл
[другой крепеж]	2028		Комплектующие для Quadro60CB/CB-1 подв. для ЦДС	компл
МДФ	2040		Панель глянец белый P100/601 1220*2800*16мм Кастамону	м2
Кромка	2041		Кромка ПВХ глянец белый P100/600 1*22 без. З/П (200м)	пог. м
Метизы	2042		Дюбель PND-6x30 (100шт.), нейлон	шт
Зеркала и стекла	2043		Скотч двухсторонний 19ммх25м, красный, SALTAPE	шт
Стяжки/эксцентрики/евровинты	2044	115252	Шток ввинчиваемый, зажимной DU 232 Twister, размер 30 мм, диаметр 5 мм, глянцевый, 9047644, Hettich	шт
Метизы	2045	119737	Шуруп по дереву и ДСП потай PZ 4х40 пакет 100 шт.	шт
ДСП	2048		ДСП 8 мм Серый перламутровый U763 ST9 Шуя	м2
Заглушки	2049	106801	Заглушка самоклеящаяся, цвет бежевый 0325 D=14 мм , 50 штук Турция	шт
Заглушки	2050	106911	Заглушка самоклеящаяся, цвет ваниль 2355 D=14 мм , 50 штук Турция	шт
Заглушки	2051	106912	Заглушка самоклеящаяся, цвет ваниль 2355 D=20 мм , 24 штук Турция	шт
Заглушки	2052	106952	Заглушка самоклеящаяся, цвет дуб молочный 7523 D=20 мм , упаковка 24 штук Турция	шт
Подвесы	2053	101407	Планка крепежная для навеса (код 101136), оцинкованная	шт
Наполнение шкафов	2054	IN01051A	Направляющая одинарная нижняя серебро INTEGRO, L-6000	шт
Наполнение шкафов	2055	IN01100A-S3	Направляющая нижняя серебро INTEGRO, L-3000	шт
Наполнение шкафов	2056	IN01200A-S3	Направляющая верхняя серебро INTEGRO, L-3000	шт
Толкатели	2057	4 523 875	Ответная планка-саморез металлическая D10, K-PUSH TECH	шт
Наполнение шкафов	2058	BR4P6WH	Щеточный уплотнитель, белый, 6 мм INTEGRO	м
Наполнение шкафов	2059	ROL1260	Комплект универсальных роликов на 1 дверь INTEGRO	компл
Ручки	2061	TLK R 4 MM	Втулка пластиковая для стекла толщиной 4-5 мм, прозрачная	шт
Наполнение шкафов	2062	VS - ROL	Стопор INTEGRO	шт
Ручки	2064	S-4070-256	Ручка-скоба Kerron 256мм, хром, S-4070-256	шт
ДСП	2066		ЛДСП Lamarty 2750*1830*16мм Вулканический серый Р	м2
Кромка	2067		Кромка ПВХ 0,8*19 Серый Вулканический 101031U Рехау	пог. м
ДСП	2068		ЛДСП Lamarty 2750*1830*16мм Белый Кристалл К	м2
Полкодержатели	2069	2574 21	Полкодержатель для деревянных полок с фиксацией FLIPPER, белый	шт
Полкодержатели	2070	2574 50	Шток с гладким штифтом для полкодержателя FLIPPER	шт
Подвесы	2071	K013.001L.101	Навес 801 Мебельный цельнометаллический на футорках, 100 кг, левый	шт
Подвесы	2072	K013.001R.101	Навес 801 Мебельный цельнометаллический на футорках, 100 кг, правый	шт
Сетки и решетки	2073	VG-2030 WH	Решетка вентиляционная универсальная, 350х68 мм, пластик, белый	шт
Заглушки	2074	102911	Заглушка-самоклейка d=20мм, бежевый песок 062, лист 28шт.	шт
Полкодержатели	2075	105438	Шток Permo PV21 со штифтом для полкодержателя SI20	шт
Опоры	2081	10565	Регулятор накладной с пластиковым подпятником 30000Z232A2 Италия	шт
Петли мебельные	2082	9552	Петля полунакладная 91370.052 Clip-on с доводчиком	шт
Розетки	2088	BR-R14-16- K45	Розетка с заземлением с защитными шторками 16А РС14-1-0-БрТБ темная бронза, BRITE	шт
Розетки	2089	BR-M12-K45	Рамка 1 пост РУ-1-БрТБ темная бронза, BRITE	шт
Розетки	2090	BR-M22-K45	Рамка 2 поста РУ-2-БрТБ темная бронза, BRITE	шт
Клеи	2091	81959454	Клей Tytan для зеркал и стекла цвет бежевый 290 мл	шт
[другие материалы]	2094		Стабилизированный мох ягель (light green)	кг
Пленки ПВХ	2095	OR-17	Пленка ПВХ Organza OR-17 Эйхория	м2
ДСП	2096		ЛДСП 16мм Бук Бавария светлый 2750*1830	м2
Кромка	2097		Кромка ПВХ 0,4*19 Бук Бавария Светлый D1408/WH1387	пог. м
Кромка	2098		Кромка ПВХ 2*19 Бук Бавария Светлый D1408/WH1387	пог. м
Толкатели	2099	112927	Толкатель фасадов нажимной с магнитом, длинный ход 40мм, накладной, серый, 21N	шт
Ручки	2100	S-4070-288	Ручка-скоба Kerron 288мм, хром, S-4070-288	шт
